date,fixed,generation,t,price
2016-03-07,0.04799999999988813,0.0,5,21.87
2016-03-07,0.02400000000000091,0.24500000000011823,6,32.34
2016-03-07,1.455000000000041,1.5049999999998818,7,35.97
2016-03-07,1.9349999999999454,3.6560000000001764,8,37.79
2016-03-07,1.8290000000000646,3.563999999999851,9,33.07
2016-03-07,2.18100000000004,3.5160000000000764,10,31.98
2016-03-07,1.9320000000000164,4.990000000000009,11,29.96
2016-03-07,0.8829999999999245,5.3689999999999145,12,27.98
2016-03-07,0.07100000000002638,2.2560000000000855,13,27.44
2016-03-07,0.4739999999999327,5.085000000000036,14,27.72
2016-03-07,0.3890000000001237,3.3940000000000055,15,27.1
2016-03-07,0.03099999999994907,0.4559999999999036,16,30.07
2016-03-07,0.04200000000003001,0.015000000000100044,17,33.97
2016-03-07,0.014000000000010004,0.0,18,48.29
2016-03-07,0.06299999999998818,0.0,19,46.65
2016-03-07,0.019000000000005457,0.0,20,30.03
2016-03-07,0.049999999999954525,0.0,21,27.95
2016-03-07,0.013000000000033651,0.0,22,26.96
2016-03-07,0.05099999999993088,0.0,23,24.47
2016-03-08,0.023000000000024556,0.0,0,22.39
2016-03-08,0.03200000000003911,0.0,1,22.91
2016-03-08,0.03099999999994907,0.0,2,22.81
2016-03-08,0.013000000000033651,0.0,3,22.0
2016-03-08,0.04800000000000182,0.0,4,21.67
2016-03-08,0.01700000000005275,0.0,5,22.7
2016-03-08,0.05599999999992633,0.2400000000000091,6,27.44
2016-03-08,0.4089999999999918,1.168999999999869,7,37.73
2016-03-08,0.028999999999996362,1.4710000000000036,8,39.08
2016-03-08,0.033999999999991815,0.9339999999999691,9,34.98
2016-03-08,0.01599999999996271,1.3550000000000182,10,28.61
2016-03-08,0.05600000000004002,2.8200000000001637,11,25.42
2016-03-08,0.01599999999996271,3.6849999999999454,12,25.1
2016-03-08,0.04900000000009186,0.9659999999998945,13,24.64
2016-03-08,0.014999999999986358,3.25,14,24.81
2016-03-08,0.04099999999993997,3.25,15,25.09
2016-03-08,0.03200000000003911,0.6850000000001728,16,27.92
2016-03-08,0.013000000000033651,0.024999999999863576,17,33.1
2016-03-08,0.05299999999999727,0.0,18,44.93
2016-03-08,0.023000000000024556,0.0,19,40.58
2016-03-08,0.03599999999994452,0.0,20,31.94
2016-03-08,0.02699999999992997,0.0,21,25.07
2016-03-08,0.014000000000010004,0.0,22,27.2
2016-03-08,0.056000000000153705,0.0,23,22.61
2016-03-09,0.015999999999849024,0.0,0,23.8
2016-03-09,0.04500000000007276,0.0,1,22.03
2016-03-09,0.014999999999986358,0.0,2,20.94
2016-03-09,0.02400000000000091,0.0,3,20.08
2016-03-09,0.04600000000004911,0.0,4,20.01
2016-03-09,0.014000000000010004,0.0,5,21.14
2016-03-09,0.045999999999935426,0.22000000000002728,6,24.95
2016-03-09,0.013000000000033651,1.0550000000000637,7,31.92
2016-03-09,0.041999999999916326,1.4890000000000327,8,29.91
2016-03-09,0.030000000000086402,1.9649999999999181,9,25.03
2016-03-09,0.01700000000005275,3.80600000000004,10,23.43
2016-03-09,0.04699999999991178,8.49499999999989,11,23.85
2016-03-09,0.016000000000076398,8.054999999999836,12,22.28
2016-03-09,0.20299999999997453,7.37900000000036,13,21.96
2016-03-09,2.895999999999958,6.320999999999913,14,22.48
2016-03-09,1.4420000000000073,3.8299999999999272,15,23.05
2016-03-09,0.6599999999999682,0.41899999999986903,16,24.83
2016-03-09,0.19299999999998363,0.026000000000294676,17,33.0
2016-03-09,0.038000000000010914,0.0,18,38.77
2016-03-09,0.02699999999992997,0.0,19,37.99
2016-03-09,0.051000000000044565,0.0,20,29.81
2016-03-09,0.014000000000010004,0.0,21,25.8
2016-03-09,0.05200000000002092,0.0,22,27.51
2016-03-09,0.020999999999958163,0.0,23,23.41
2016-03-10,0.04600000000004911,0.0,0,19.72
2016-03-10,0.020999999999958163,0.0,1,20.17
2016-03-10,0.02100000000007185,0.0,2,20.04
2016-03-10,0.043000000000006366,0.0,3,20.16
2016-03-10,0.021999999999934516,0.0,4,20.94
2016-03-10,0.04899999999997817,0.0,5,21.6
2016-03-10,0.013000000000033651,0.19000000000005457,6,28.48
2016-03-10,0.03999999999996362,0.5939999999995962,7,35.44
2016-03-10,0.5650000000000546,1.1960000000003674,8,31.99
2016-03-10,0.2520000000000664,1.9289999999996326,9,30.07
2016-03-10,0.045999999999935426,5.2150000000001455,10,25.53
2016-03-10,0.013000000000033651,7.420000000000073,11,24.71
2016-03-10,1.6179999999999382,7.405999999999949,12,26.35
2016-03-10,0.45699999999999363,6.809999999999945,13,25.0
2016-03-10,0.04100000000005366,6.06899999999996,14,25.0
2016-03-10,0.026000000000067303,3.5910000000003492,15,24.89
2016-03-10,0.021999999999934516,0.4899999999997817,16,25.03
2016-03-10,0.053999999999973625,0.03900000000021464,17,29.95
2016-03-10,0.014000000000010004,0.0,18,35.49
2016-03-10,0.05299999999999727,0.0,19,37.79
2016-03-10,0.015000000000100044,0.0,20,30.02
2016-03-10,0.05899999999996908,0.0,21,25.31
2016-03-10,0.016999999999939064,0.0,22,22.72
2016-03-10,0.033999999999991815,0.0,23,21.32
2016-03-11,0.03200000000003911,0.0,0,22.03
2016-03-11,0.02400000000000091,0.0,1,20.85
2016-03-11,0.047000000000025466,0.0,2,21.03
2016-03-11,0.014000000000010004,0.0,3,21.06
2016-03-11,0.049999999999954525,0.0,4,21.75
2016-03-11,0.022000000000048203,0.004999999999654392,5,22.39
2016-03-11,0.03799999999989723,0.36500000000023647,6,28.34
2016-03-11,0.026000000000067303,1.5549999999998363,7,34.47
2016-03-11,0.014999999999986358,3.550000000000182,8,38.34
2016-03-11,1.4320000000000164,4.630999999999858,9,36.69
2016-03-11,1.4209999999999354,5.675000000000182,10,32.91
2016-03-11,0.33600000000001273,6.423999999999978,11,31.98
2016-03-11,0.035000000000081855,2.2959999999998217,12,29.81
2016-03-11,0.029999999999972715,1.5349999999998545,13,27.03
2016-03-11,0.047000000000025466,0.8790000000003602,14,25.01
2016-03-11,0.01599999999996271,0.5459999999998217,15,24.92
2016-03-11,0.06399999999996453,0.21900000000005093,16,24.88
2016-03-11,0.014000000000010004,0.009999999999763531,17,27.9
2016-03-11,0.03300000000001546,0.0,18,32.55
2016-03-11,0.03200000000003911,0.0,19,35.69
2016-03-11,0.02400000000000091,0.0,20,30.33
2016-03-11,0.049999999999954525,0.0,21,26.77
2016-03-11,0.020999999999958163,0.0,22,28.2
2016-03-11,0.05300000000011096,0.0,23,25.21
2016-03-12,0.01499999999987267,0.0,0,29.01
2016-03-12,0.024000000000114596,0.0,1,26.1
2016-03-12,0.04399999999998272,0.0,2,25.69
2016-03-12,0.019000000000005457,0.0,3,24.5
2016-03-12,0.04899999999997817,0.0,4,23.26
2016-03-12,0.014000000000010004,0.0,5,24.5
2016-03-12,0.038000000000010914,0.11599999999998545,6,25.45
2016-03-12,0.03499999999996817,0.32500000000027285,7,25.51
2016-03-12,0.014999999999986358,0.6849999999999454,8,28.91
2016-03-12,0.049999999999954525,0.9389999999998508,9,30.09
2016-03-12,0.018000000000029104,0.9860000000003311,10,29.26
2016-03-12,0.05200000000002092,1.8840000000000146,11,28.44
2016-03-12,0.03300000000001546,1.6059999999997672,12,27.6
2016-03-12,0.014999999999986358,1.0050000000001091,13,25.01
2016-03-12,0.057999999999992724,0.7789999999999964,14,23.38
2016-03-12,0.030000000000086402,0.26499999999987267,15,22.96
2016-03-12,0.014999999999986358,0.07000000000016371,16,23.67
2016-03-12,0.06599999999991724,0.0,17,27.07
2016-03-12,0.014999999999986358,0.0,18,34.09
2016-03-12,0.026000000000067303,0.0,19,36.97
2016-03-12,0.05700000000001637,0.0,20,35.0
2016-03-12,0.013999999999896318,0.0,21,30.17
2016-03-12,0.030000000000086402,0.0,22,30.91
2016-03-12,0.05200000000002092,0.0,23,30.0
2016-03-13,0.014999999999986358,0.0,0,26.51
2016-03-13,0.03899999999998727,0.0,1,22.65
2016-03-13,0.03200000000003911,0.0,2,21.67
2016-03-13,0.021999999999934516,0.0,3,21.05
2016-03-13,0.045999999999935426,0.0,4,21.12
2016-03-13,0.027000000000043656,0.0,5,21.17
2016-03-13,0.014000000000010004,0.06500000000005457,6,21.11
2016-03-13,0.055000000000063665,0.34999999999990905,7,21.08
2016-03-13,0.029999999999972715,0.9499999999998181,8,21.31
2016-03-13,0.014000000000010004,4.720000000000255,9,21.69
2016-03-13,1.6409999999999627,6.7409999999999854,10,21.73
2016-03-13,1.9429999999999836,4.253999999999905,11,21.69
2016-03-13,0.20699999999999363,5.871000000000095,12,21.07
2016-03-13,0.06500000000005457,3.980000000000018,13,19.4
2016-03-13,0.014000000000010004,0.8999999999996362,14,17.78
2016-03-13,0.02400000000000091,0.6850000000004002,15,17.46
2016-03-13,0.06299999999998818,0.30399999999963256,16,18.08
2016-03-13,0.014000000000010004,0.051000000000385626,17,20.19
2016-03-13,0.03599999999994452,0.0,18,26.08
2016-03-13,0.053999999999973625,0.0,19,33.55
2016-03-13,0.022000000000048203,0.0,20,31.05
2016-03-13,0.03600000000005821,0.0,21,27.24
2016-03-13,0.033999999999991815,0.0,22,28.93
2016-03-13,0.01499999999987267,0.0,23,26.63
2016-03-14,0.06200000000001182,0.0,0,22.39
2016-03-14,0.01700000000005275,0.0,1,20.7
2016-03-14,0.014000000000010004,0.0,2,20.22
2016-03-14,0.05200000000002092,0.0,3,19.99
2016-03-14,0.020999999999958163,0.0,4,20.36
2016-03-14,0.04099999999993997,0.0,5,21.92
2016-03-14,0.03300000000001546,0.23999999999978172,6,29.46
2016-03-14,0.015000000000100044,0.599999999999909,7,35.43
2016-03-14,0.05899999999996908,1.1489999999998872,8,35.81
2016-03-14,0.01999999999998181,3.100000000000364,9,31.75
2016-03-14,0.018000000000029104,2.5450000000000728,10,28.82
2016-03-14,0.05299999999999727,2.949999999999818,11,24.33
2016-03-14,0.017999999999915417,1.3609999999998763,12,23.31
2016-03-14,0.07000000000005002,1.4639999999999418,13,22.84
2016-03-14,0.013000000000033651,1.3910000000000764,14,22.55
2016-03-14,0.4519999999999982,1.0950000000002547,15,23.04
2016-03-14,0.4069999999999254,0.32999999999992724,16,24.8
2016-03-14,0.03700000000003456,0.01499999999987267,17,30.71
2016-03-14,0.03999999999996362,0.0,18,39.48
2016-03-14,0.018000000000029104,0.0,19,47.92
2016-03-14,0.06299999999998818,0.0,20,34.32
2016-03-14,0.014000000000010004,0.0,21,29.48
2016-03-14,0.047000000000025466,0.0,22,26.37
2016-03-14,0.021999999999934516,0.0,23,22.91
2016-03-15,0.023000000000024556,0.0,0,21.1
2016-03-15,0.051000000000044565,0.0,1,20.76
2016-03-15,0.013000000000033651,0.0,2,21.17
2016-03-15,0.03999999999996362,0.0,3,20.74
2016-03-15,0.03499999999996817,0.0,4,20.91
2016-03-15,0.016000000000076398,0.01499999999987267,5,22.86
2016-03-15,0.04699999999991178,0.39400000000023283,6,27.1
2016-03-15,0.014999999999986358,1.2909999999997126,7,33.69
2016-03-15,0.04600000000004911,2.225000000000364,8,38.47
2016-03-15,0.025999999999953616,3.855000000000018,9,35.96
2016-03-15,0.013000000000033651,3.368999999999687,10,36.09
2016-03-15,0.049999999999954525,2.0150000000003274,11,34.31
2016-03-15,0.022000000000048203,0.8609999999998763,12,30.93
2016-03-15,0.04899999999997817,0.4290000000000873,13,27.44
2016-03-15,0.014000000000010004,0.5709999999999127,14,24.78
2016-03-15,0.03700000000003456,0.3249999999998181,15,23.71
2016-03-15,0.7649999999999864,0.20400000000017826,16,23.3
2016-03-15,1.1440000000000055,0.005000000000109139,17,25.45
2016-03-15,0.38599999999996726,0.0,18,31.91
2016-03-15,0.016999999999939064,0.0,19,34.13
2016-03-15,0.05300000000011096,0.0,20,29.06
